Company Name,UEI,City,State,Total Lease Value,Number of Leases,Largest Lease,Property Types,Lease States,Most Recent Lease Date,Most Recent PSC Code
"CENTRE MARKET BUILDING LLC","GVE8NMRZDMP6","","",3005384.33,2,2295278.22,"","NJ","2022-08-31",""
"INTEGRATED MODULAR SOLUTIONS, LLC","MV22KVPV8DT5","","",2609963.37,1,2609963.37,"","FL","2018-09-30",""
"RXR SL REIT LLC","E1U7M1QKEX34","","",1688090.00,1,1688090.00,"","NY","2022-10-01",""
"INTER AMERICAN UNIVERSITY OF PUERTO RICO INC","KBLPFKKQMJ87","","",441337.52,1,441337.52,"","PR","2023-09-11",""
"CITY VIEW PLAZA, LLC","GG2LFCHB2JU4","","",152027.58,1,152027.58,"","PR","2021-10-01",""
"ORION MALONE NY LLC","XK6WXPV1KQE5","","",67500.00,1,67500.00,"","NY","2022-06-28",""
"I 290 COLVIN ASSOC LLC","GZS5X6J7C4A7","","",53904.00,1,53904.00,"","NY","2022-05-09",""
"CL SUMMIT CHAPPAQUA HOLDCO LLC","M7BVUA8MGB55","","",52517.24,1,52517.24,"","NY","2022-06-23",""
"ISKALO ELECTRIC TOWER MASTER TENANT LLC","FMUJFL1VULG9","","",52352.67,1,52352.67,"","NY","2022-06-07",""
"MILLENNIUM PARK PLAZA ASSOCIATES S, EN C. POR A., S.E.","EA4BD7261DA6","","",44390.64,1,44390.64,"","PR","2021-10-01",""
"GA INVESTORS SE","J8CMA4RN7CY5","","",43554.00,1,43554.00,"","PR","2022-07-11",""
"CVD MAIN LLC","QJLMK7K32NL5","","",40000.00,1,40000.00,"","PR","2021-10-01",""
"EGP 130 BUFFALO LLC","FML3F3PRUTC4","","",37063.51,2,33948.60,"","NY","2023-03-31",""
"INMOBILIARIA WITOCHE, LLC","V8FGYM19V489","","",31669.66,1,31669.66,"","PR","2021-10-01",""
"500 NEW KARNER ROAD LLC","DCRQPLL4MJ46","","",24440.00,1,24440.00,"","NY","2022-12-15",""
"CTP PLAZA LLC","XYP5KHN74LN8","","",20869.05,1,20869.05,"","PR","2021-10-01",""
"RXR 32 OLD SLIP REIT LLC","L5UFKZ3KQ8Z9","","",20400.00,1,20400.00,"","NY","2022-10-01",""
"M2 CHANDLER TENANT LLC","Z16HH2ZZXBD8","","",13367.20,1,13367.20,"","AZ","2023-12-21",""
"BUFFALO NY I FGF LLC","HL9UW49AKKD3","","",11041.50,2,8684.00,"","NY","2023-05-05",""
"TAHA, ABDALLAH","WXYWUGZ9TA89","","",10351.24,1,10351.24,"","PR","2021-10-01",""
"MAIN THEATER PLACE, L.P.","H5G4MFDDBPD6","","",9250.00,1,9250.00,"","NY","2022-11-29",""
"56 KING STREET, LLC","WB29FZXNSPJ9","","",8659.44,1,8659.44,"","VI","2021-10-01",""
"NIAGARA GROUP, L.P.","G4SER4M935M3","","",6770.85,1,6770.85,"","NY","2021-10-01",""
"JOHNJAVI CORPORATION","EH8HQSBWQK51","","",6039.00,1,6039.00,"","PR","2021-10-19",""
"HOOVER PROPERTY ST. THOMAS, LLC","ECJYAEYMN741","","",3348.42,1,3348.42,"","VI","2021-10-01",""
"W-CITY VIEW PR LLC","EKX8KL4PEB67","","",950.91,1,950.91,"","PR","2021-10-01",""
"FIRST BANK BUILDING LLC","CAHWHK3G3BN3","","",0.00,1,0.00,"","MN","2022-09-22",""